CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
ANDERSON-SHIRO JR/SR H S 093901001,467.0,70.0,195.0,,,,70.0,,,,,,,,6,ANDERSON-SHIRO CISD 093901
ANDRE EL 101907146,1041.0,41.0,102.0,,,,38.0,,,,,,,11.0,4,CYPRESS-FAIRBANKS ISD 101907
ANDRESS H S 071902001,1650.0,158.0,285.0,,,76.0,77.0,33.0,,,49.0,,,62.0,19,EL PASO ISD 071902
ANDREW JACKSON MIDDLE 057910045,1066.0,254.0,582.0,,,31.0,236.0,14.0,,,25.0,,,57.0,10,GRAND PRAIRIE ISD 057910
ANDREWS EDUCATION CENTER 002901002,85.0,,,,,,,,,,,,,,18,ANDREWS ISD 002901
ANDREWS EL 043910140,628.0,,,,,,,,,,,,,,10,PLANO ISD 043910
ANDREWS EL 205902104,607.0,,10.0,,,,,,,,,,,,2,GREGORY-PORTLAND ISD 205902
ANDREWS EL 227901102,545.0,15.0,19.0,,,,,,,,,,,11.0,13,AUSTIN ISD 227901
ANDREWS H S 002901001,1097.0,113.0,233.0,,,18.0,105.0,,,,,,,48.0,18,ANDREWS ISD 002901
ANDREWS MIDDLE 002901041,992.0,200.0,622.0,,,35.0,171.0,30.0,,,15.0,,,79.0,18,ANDREWS ISD 002901
ANDY DEKANEY H S 101919003,2699.0,762.0,1958.0,,,61.0,473.0,24.0,,,39.0,,,534.0,4,SPRING ISD 101919
ANGELA GERUSA LEAL EL 031912117,464.0,,,,,,,,,,,,,,1,SAN BENITO CISD 031912
ANGLETON H S 020902001,2077.0,203.0,457.0,,,72.0,165.0,43.0,,,43.0,,,40.0,4,ANGLETON ISD 020902
ANGLETON J H SCHOOL 020902044,1558.0,350.0,1006.0,14.0,14.0,112.0,318.0,72.0,,,71.0,,,89.0,4,ANGLETON ISD 020902
ANITA SCOTT EL 199902104,620.0,33.0,97.0,,,,32.0,,,,,,,,10,ROYSE CITY ISD 199902
ANN BROCK EL AT OAK GROVE 126902110,777.0,29.0,99.0,,,,28.0,,,,,,,,11,BURLESON ISD 126902
ANN M GARCIA-ENRIQUEZ MIDDLE 071904041,595.0,164.0,514.0,,,43.0,159.0,,,,,,,26.0,19,SAN ELIZARIO ISD 071904
ANN RICHARDS MIDDLE 057905353,1411.0,486.0,1417.0,,,48.0,364.0,21.0,,,33.0,,,308.0,10,DALLAS ISD 057905
ANN RICHARDS MIDDLE 108912045,886.0,280.0,1090.0,,,34.0,237.0,18.0,,,19.0,,,171.0,1,LA JOYA ISD 108912
ANN WHITNEY EL 097902102,480.0,30.0,77.0,,,,29.0,,,,,,,,12,HAMILTON ISD 097902
ANNA H S 043902001,992.0,162.0,441.0,,,34.0,149.0,26.0,,,12.0,,,37.0,10,ANNA ISD 043902
ANNA MAY DAULTON EL 220908120,738.0,16.0,28.0,,,,15.0,,,,,,,,11,MANSFIELD ISD 220908
ANNA MIDDLE 043902041,865.0,148.0,357.0,,,,142.0,,,,,,,28.0,10,ANNA ISD 043902
ANNE FRANK EL 057905280,1253.0,18.0,19.0,,,,,,,,,,,18.0,10,DALLAS ISD 057905
ANNE FRANK INSPIRE ACADEMY 015808009,432.0,,,,,,,,,,,,,,20,INSPIRE ACADEMIES 015808
ANNE L MAGEE EL 108904126,483.0,15.0,32.0,,,,,,,,,,,15.0,1,EDINBURG CISD 108904
ANNE MCCORMICK SULLIVAN EL 079907152,1288.0,,11.0,,,,,,,,,,,,4,FORT BEND ISD 079907
ANNETTE PERRY EL 220908124,415.0,13.0,29.0,,,,11.0,,,,,,,,11,MANSFIELD ISD 220908
ANNIE PURL EL 246904101,887.0,31.0,44.0,,,,31.0,,,,,,,,13,GEORGETOWN ISD 246904
ANNIE SIMS EL 225902102,578.0,,,,,,,,,,,,,,8,MOUNT PLEASANT ISD 225902
ANNIE WEBB BLANTON EL 057905110,721.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
ANNUNCIATION MATERNITY HOME 227806017,27.0,,,,,,,,,,,,,,13,UNIVERSITY OF TEXAS UNIVERSITY CHA 227806
ANSON EL 127901101,405.0,19.0,30.0,,,,19.0,,,,,,,,14,ANSON ISD 127901
ANSON H S 127901001,242.0,26.0,42.0,,,,22.0,,,,,,,,14,ANSON ISD 127901
ANSON JONES EL 021902115,625.0,,,,,,,,,,,,,,6,BRYAN ISD 021902
ANSON JONES EL 057905164,659.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
ANSON MIDDLE 127901041,184.0,28.0,73.0,,,,26.0,,,,,,,,14,ANSON ISD 127901
ANTHON EL 232903104,623.0,,,,,,,,,,,,,,20,UVALDE CISD 232903
ANTHONY EL 071906101,437.0,,,,,,,,,,,,,,19,ANTHONY ISD 071906
ANTHONY H S 071906001,257.0,,,,,,,,,,,,,11.0,19,ANTHONY ISD 071906
ANTHONY MIDDLE 071906041,216.0,46.0,105.0,,,,41.0,,,,,,,26.0,19,ANTHONY ISD 071906
ANTHONY MIDDLE 101907058,1533.0,322.0,1147.0,,,13.0,272.0,,,,,,,145.0,4,CYPRESS-FAIRBANKS ISD 101907
ANTON SCHOOL 110901001,269.0,38.0,109.0,,,,28.0,,,,,,,23.0,17,ANTON ISD 110901
ANTONIO GONZALEZ MIDDLE 240903053,1171.0,120.0,258.0,,,30.0,59.0,,,,,,,87.0,1,UNITED ISD 240903
AOY EL 071902103,526.0,10.0,15.0,,,,,,,,,,,,19,EL PASO ISD 071902
APOLLO J H 057916050,699.0,115.0,294.0,,,10.0,108.0,,,,,,,31.0,10,RICHARDSON ISD 057916
APPLE SPRINGS EL 228905101,133.0,,,,,,,,,,,,,,6,APPLE SPRINGS ISD 228905
APPLE SPRINGS H S 228905001,82.0,,,,,,,,,,,,,,6,APPLE SPRINGS ISD 228905
APPLIED LEARNING ACAD 220905055,317.0,17.0,21.0,,,,16.0,,,,,,,,11,FORT WORTH ISD 220905
AQUILLA SCHOOL 109912001,352.0,39.0,61.0,,,,27.0,,,,,,,16.0,12,AQUILLA ISD 109912
ARABIC IMMERSION MAGNET SCHOOL 101912478,289.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
ARAGON MIDDLE 101907051,1629.0,321.0,777.0,,,11.0,296.0,,,,,,,116.0,4,CYPRESS-FAIRBANKS ISD 101907
ARANSAS PASS H S 205901001,476.0,117.0,349.0,,,,111.0,,,,,,,40.0,2,ARANSAS PASS ISD 205901
ARAPAHO CLASSICAL MAGNET 057916101,587.0,,18.0,,,,,,,,,,,,10,RICHARDSON ISD 057916
ARBOR CREEK MIDDLE 061902047,936.0,111.0,245.0,,,,109.0,,,,,,,11.0,11,LEWISVILLE ISD 061902
ARCADIA PARK EL 057905105,695.0,15.0,23.0,,,,,,,,,,,13.0,10,DALLAS ISD 057905
ARCHER CITY EL 005901101,273.0,,,,,,,,,,,,,,9,ARCHER CITY ISD 005901
ARCHER CITY H S 005901001,241.0,,,,,,,,,,,,,,9,ARCHER CITY ISD 005901
ARDEN ROAD EL 191901106,512.0,,,,,,,,,,,,,,16,CANYON ISD 191901
ARGYLE H S 061910001,877.0,74.0,135.0,,,,69.0,,,,14.0,,,,11,ARGYLE ISD 061910
ARGYLE INT 061910042,416.0,,,,,,,,,,,,,,11,ARGYLE ISD 061910
ARGYLE MIDDLE 061910041,706.0,11.0,13.0,,,,,,,,,,,,11,ARGYLE ISD 061910
ARISTOI CLASSICAL ACADEMY 101803041,461.0,15.0,22.0,,,,,,,,,,,12.0,4,ARISTOI CLASSICAL ACADEMY 101803
ARISTOI CLASSICAL UPPER SCHOOL 101803001,457.0,19.0,23.0,,,,,,,,,,,15.0,4,ARISTOI CLASSICAL ACADEMY 101803
ARIZONA FLEMING EL 079907133,705.0,31.0,42.0,,,,25.0,,,,,,,11.0,4,FORT BEND ISD 079907
ARLINGTON CLASSICS ACADEMY - MIDDL 220802040,491.0,32.0,,,,,,,,,,,,20.0,11,ARLINGTON CLASSICS ACADEMY 220802
ARLINGTON CLASSICS ACADEMY - PRI 220802101,552.0,,,,,,,,,,,,,,11,ARLINGTON CLASSICS ACADEMY 220802
ARLINGTON CLASSICS ACADEMY -INTERM 220802102,551.0,,55.0,,,,28.0,,,,,,,11.0,11,ARLINGTON CLASSICS ACADEMY 220802
ARLINGTON COLLEGIATE H S 220901011,393.0,,,,,,,,,,,,,,11,ARLINGTON ISD 220901
ARLINGTON H S 220901001,2928.0,300.0,807.0,,,102.0,227.0,95.0,,,113.0,,,125.0,11,ARLINGTON ISD 220901
ARLINGTON HEIGHTS H S 220905002,2059.0,289.0,699.0,,,35.0,256.0,25.0,,,16.0,,,179.0,11,FORT WORTH ISD 220905
ARLON R SEAY EL 046902110,406.0,,10.0,,,,,,,,,,,,20,COMAL ISD 046902
ARLYNE & ALAN WEBER EL 084910125,957.0,,,,,,,,,,,,,,4,CLEAR CREEK ISD 084910
ARMAND BAYOU EL 084910111,604.0,18.0,28.0,,,,17.0,,,,,,,,4,CLEAR CREEK ISD 084910
ARMANDO CERNA EL 159901121,478.0,,,,,,,,,,,,,,20,EAGLE PASS ISD 159901
ARMANDO CHAPA MIDDLE 105906045,840.0,70.0,246.0,,,23.0,54.0,10.0,,,17.0,,,21.0,13,HAYS CISD 105906
ARMANDO CUELLAR MIDDLE 108913042,797.0,70.0,124.0,,,24.0,,,,,,,,70.0,1,WESLACO ISD 108913
ARMENDARIZ MIDDLE 071902054,552.0,132.0,340.0,,,35.0,73.0,,,,,,,98.0,19,EL PASO ISD 071902
ARMSTRONG EL 057911101,537.0,,,,,,,,,,,,,,10,HIGHLAND PARK ISD 057911
ARMSTRONG EL 170902107,723.0,38.0,65.0,,,,33.0,,,,,,,,6,CONROE ISD 170902
ARMSTRONG MIDDLE 043910045,757.0,102.0,234.0,,,12.0,79.0,,,,,,,54.0,10,PLANO ISD 043910
ARNOLD EL 015907101,659.0,,,,,,,,,,,,,,20,SAN ANTONIO ISD 015907
ARNOLD MIDDLE 101907041,1471.0,330.0,1152.0,,,21.0,289.0,,,,,,,142.0,4,CYPRESS-FAIRBANKS ISD 101907
ARNOLDO CANTU SR EL 108909120,720.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909
ARP EL 212901101,487.0,22.0,31.0,,,,20.0,,,,,,,,7,ARP ISD 212901
ARP H S 212901001,291.0,39.0,64.0,,,,37.0,,,,,,,,7,ARP ISD 212901
ARP J H 212901041,205.0,39.0,75.0,,,,38.0,,,,,,,,7,ARP ISD 212901
ARROW ACADEMY - CHAMPIONS ACADEMY 021805105,135.0,22.0,48.0,,,,,,,,,,,21.0,6,ARROW ACADEMY 021805
ARROW ACADEMY - HARVEST PREPARATOR 021805102,197.0,12.0,23.0,,,,,,,,,,,12.0,6,ARROW ACADEMY 021805
ARROW ACADEMY - LIBERATION ACADEMY 021805101,242.0,,12.0,,,,,,,,,,,,6,ARROW ACADEMY 021805
ARROW ACADEMY - SAVE OUR STREETS C 021805041,110.0,,11.0,,,,,,,,,,,,6,ARROW ACADEMY 021805
ART AND PAT GOFORTH EL 084910122,961.0,45.0,89.0,,,,44.0,,,,,,,,4,CLEAR CREEK ISD 084910
ARTHUR H MCNEIL EL 043907117,468.0,26.0,60.0,,,,11.0,,,,,,,19.0,10,MCKINNEY ISD 043907
ARTHUR KRAMER EL 057905169,654.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
ARTHUR L DAVILA MIDDLE 021902047,1110.0,335.0,1259.0,,,74.0,323.0,59.0,,,25.0,,,141.0,6,BRYAN ISD 021902
ARTIE L HENRY MIDDLE 246913044,1412.0,113.0,298.0,,,,113.0,,,,,,,,13,LEANDER ISD 246913
ARTURO SALAZAR EL 057905239,638.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
ASA E LOW JR INT 220908207,819.0,145.0,360.0,,,,141.0,,,,,,,19.0,11,MANSFIELD ISD 220908
ASCARATE EL 071905101,427.0,,16.0,,,,,,,,,,,,19,YSLETA ISD 071905
ASCHER SILBERSTEIN EL 057905209,790.0,,12.0,,,,,,,,,,,,10,DALLAS ISD 057905
ASH H S 095905002,156.0,68.0,195.0,,,18.0,63.0,10.0,,,10.0,,,17.0,17,PLAINVIEW ISD 095905
ASHBEL SMITH EL 101911113,845.0,48.0,98.0,,,,45.0,,,,,,,10.0,4,GOOSE CREEK CISD 101911
ASHFORD EL 101912273,811.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
ASHLEY EL 043905119,688.0,,,,,,,,,,,,,,10,FRISCO ISD 043905
ASHWORTH EL 220901149,491.0,29.0,52.0,,,,25.0,,,,,,,,11,ARLINGTON ISD 220901
ASKEW EL 101912274,1034.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
ASPERMONT EL 217901101,112.0,,,,,,,,,,,,,,14,ASPERMONT ISD 217901
ASPERMONT H S 217901001,131.0,,,,,,,,,,,,,,14,ASPERMONT ISD 217901
ASSESSMENT CTR 220905251,71.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
ASSETS 020901005,164.0,47.0,125.0,,,21.0,40.0,,,,,,,19.0,4,ALVIN ISD 020901
ATASCOCITA H S 101913008,3743.0,507.0,2031.0,,,54.0,471.0,21.0,,,35.0,,,238.0,4,HUMBLE ISD 101913
ATASCOCITA MIDDLE 101913044,1317.0,121.0,294.0,,,,110.0,,,,,,,31.0,4,HUMBLE ISD 101913
ATASCOCITA SPRINGS EL 101913126,1016.0,21.0,28.0,,,,16.0,,,,,,,,4,HUMBLE ISD 101913
ATASCOSA COUNTY JUVENILE JUSTICE C 007902005,80.0,,,,,,,,,,,,,,20,JOURDANTON ISD 007902
ATHENS H S 107901001,979.0,454.0,1742.0,,,42.0,438.0,,,,,,,62.0,10,ATHENS ISD 107901
ATHENS MIDDLE 107901041,738.0,204.0,481.0,,,22.0,192.0,,,,,,,30.0,10,ATHENS ISD 107901
ATHERTON EL 101912106,613.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
ATHERTON EL 220901132,656.0,35.0,68.0,,,,31.0,,,,,,,,11,ARLINGTON ISD 220901
ATKINS MIDDLE 152901061,670.0,236.0,800.0,,,46.0,225.0,19.0,,,34.0,,,19.0,17,LUBBOCK ISD 152901
ATKINSON EL 101917124,499.0,16.0,24.0,,,,15.0,,,,,,,,4,PASADENA ISD 101917
ATLANTA EL 034901106,361.0,,21.0,,,,,,,,,,,,8,ATLANTA ISD 034901
ATLANTA H S 034901001,508.0,91.0,211.0,,,22.0,81.0,,,,,,,,8,ATLANTA ISD 034901
ATLANTA MIDDLE 034901042,522.0,73.0,158.0,,,,69.0,,,,,,,,8,ATLANTA ISD 034901
ATLANTA PRI 034901107,416.0,,48.0,,,,,,,,,,,,8,ATLANTA ISD 034901
ATTUCKS MIDDLE 101912041,571.0,297.0,985.0,,,15.0,202.0,,,,,,,241.0,4,HOUSTON ISD 101912
ATWOOD MCDONALD EL 220905188,555.0,21.0,39.0,,,,,,,,,,,20.0,11,FORT WORTH ISD 220905
AUBREY H S 061907001,713.0,114.0,249.0,,,,106.0,,,,,,,22.0,11,AUBREY ISD 061907
AUBREY MIDDLE 061907041,809.0,99.0,184.0,,,,95.0,,,,,,,,11,AUBREY ISD 061907
AUDELIA CREEK EL 057916144,748.0,14.0,23.0,,,,11.0,,,,,,,,10,RICHARDSON ISD 057916
AUDIE MURPHY MIDDLE 014906052,904.0,104.0,261.0,,,17.0,95.0,,,,,,,34.0,12,KILLEEN ISD 014906
AUDIE MURPHY MIDDLE 108909048,940.0,14.0,21.0,,,,,,,,,,,13.0,1,PHARR-SAN JUAN-ALAMO ISD 108909
AUDRE AND BERNARD RAPOPORT ACADEMY 161802101,433.0,,,,,,,,,,,,,,12,RAPOPORT ACADEMY PUBLIC SCHOOL 161802
AUE EL 015915178,693.0,21.0,31.0,,,,21.0,,,,,,,,20,NORTHSIDE ISD 015915
AUGUSTO GUERRA EL 108909126,700.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909
AULT EL 101907133,1105.0,46.0,96.0,,,,46.0,,,,,,,,4,CYPRESS-FAIRBANKS ISD 101907
AUSTIN ACAD FOR EXCELL 057909041,954.0,92.0,200.0,,,,79.0,,,,,,,23.0,10,GARLAND ISD 057909
AUSTIN ACHIEVE PUBLIC SCHOOLS 227825001,842.0,,,,,,,,,,,,,,13,AUSTIN ACHIEVE PUBLIC SCHOOLS 227825
AUSTIN CAN ACADEMY 057804006,1127.0,,,,,,,,,,,,,,10,TEXANS CAN ACADEMIES 057804
AUSTIN DISCOVERY SCH 227821101,562.0,37.0,77.0,,,,29.0,,,,,,,19.0,13,AUSTIN DISCOVERY SCHOOL 227821
AUSTIN EL 031903102,421.0,,16.0,,,,,,,,,,,,1,HARLINGEN CISD 031903
AUSTIN EL 057914125,505.0,24.0,38.0,,,,23.0,,,,,,,,10,MESQUITE ISD 057914
AUSTIN EL 057922103,783.0,,,,,,,,,,,,,,10,COPPELL ISD 057922
AUSTIN EL 070903101,302.0,,24.0,,,,,,,,,,,,10,ENNIS ISD 070903
AUSTIN EL 090904101,428.0,27.0,50.0,,,,27.0,,,,,,,,16,PAMPA ISD 090904
AUSTIN EL 096904101,123.0,,,,,,,,,,,,,,16,MEMPHIS ISD 096904
AUSTIN EL 146902101,974.0,46.0,126.0,,,,45.0,,,,,,,,4,DAYTON ISD 146902
AUSTIN EL 170902102,1127.0,10.0,24.0,,,,,,,,,,,,6,CONROE ISD 170902
AUSTIN EL 184903106,639.0,16.0,23.0,,,,15.0,,,,,,,,11,WEATHERFORD ISD 184903
AUSTIN EL 195901106,759.0,10.0,14.0,,,,,,,,,,,,18,PECOS-BARSTOW-TOYAH ISD 195901
AUSTIN EL 205902101,764.0,,,,,,,,,,,,,,2,GREGORY-PORTLAND ISD 205902
AUSTIN EL 221901102,617.0,26.0,52.0,,,,22.0,,,,,,,,14,ABILENE ISD 221901
AUSTIN EL 226903102,517.0,14.0,33.0,,,,14.0,,,,,,,,15,SAN ANGELO ISD 226903
AUSTIN ELEM 108904101,440.0,,,,,,,,,,,,,,1,EDINBURG CISD 108904
AUSTIN H S 071902002,1477.0,144.0,291.0,,,54.0,98.0,45.0,,,22.0,,,57.0,19,EL PASO ISD 071902
AUSTIN H S 101912001,1935.0,334.0,732.0,,,32.0,292.0,17.0,,,18.0,,,146.0,4,HOUSTON ISD 101912
AUSTIN H S 227901002,2313.0,222.0,373.0,,,57.0,137.0,,,,,,,103.0,13,AUSTIN ISD 227901
AUSTIN ISD CHILD DEVELOPMENT CENTE 227901194,212.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
AUSTIN MIDDLE 057912045,1034.0,172.0,482.0,,,46.0,170.0,,,,,,,30.0,10,IRVING ISD 057912
AUSTIN MIDDLE 084902041,556.0,34.0,66.0,,,,32.0,,,,,,,11.0,4,GALVESTON ISD 084902
AUSTIN MIDDLE 108909041,982.0,63.0,178.0,,,18.0,,,,,,,,61.0,1,PHARR-SAN JUAN-ALAMO ISD 108909
AUSTIN MIDDLE 188901041,891.0,226.0,791.0,,,35.0,216.0,17.0,,,28.0,,,125.0,16,AMARILLO ISD 188901
AUSTIN MONTESSORI MAGNET 068901102,453.0,,,,,,,,,,,,,,18,ECTOR COUNTY ISD 068901
AUSTIN OAKS 227806040,304.0,,,,,,,,,,,,,,13,UNIVERSITY OF TEXAS UNIVERSITY CHA 227806
AUSTIN PARKWAY EL 079907126,740.0,11.0,13.0,,,,,,,,,,,,4,FORT BEND ISD 079907
AUSTIN ST HOSPITAL 227901250,119.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
AUSTWELL-TIVOLI EL 196901102,88.0,,,,,,,,,,,,,,3,AUSTWELL-TIVOLI ISD 196901
AUSTWELL-TIVOLI H S 196901001,65.0,,,,,,,,,,,,,,3,AUSTWELL-TIVOLI ISD 196901
AVALON SCHOOL 070901001,424.0,,,,,,,,,,,,,,10,AVALON ISD 070901
AVERY EL 194902101,192.0,,20.0,,,,,,,,,,,,8,AVERY ISD 194902
AVERY H S 194902001,112.0,,,,,,,,,,,,,,8,AVERY ISD 194902
AVERY MIDDLE 194902041,87.0,,,,,,,,,,,,,,8,AVERY ISD 194902
AVINGER SCHOOL 034902001,157.0,31.0,41.0,,,,28.0,,,,,,,,8,AVINGER ISD 034902
AVONDALE EL 188901101,568.0,46.0,81.0,,,,46.0,,,,,,,,16,AMARILLO ISD 188901
AW BROWN-F L A INT CAMPUS 057816101,1106.0,,,,,,,,,,,,,,10,A W BROWN LEADERSHIP ACADEMY 057816
AXTELL EL 161918101,400.0,13.0,20.0,,,,13.0,,,,,,,,12,AXTELL ISD 161918
AXTELL H S 161918001,229.0,22.0,48.0,,,,20.0,,,,,,,,12,AXTELL ISD 161918
AXTELL MIDDLE SCHOOL 161918041,161.0,15.0,51.0,,,,14.0,,,,,,,10.0,12,AXTELL ISD 161918
AXTELL/BE DAEP 161919005,,,19.0,,,11.0,,,,,,,,,12,BRUCEVILLE-EDDY ISD 161919
AXTELL/BRUCEVILLE-EDDY LEARNING CE 161919002,10.0,,,,,,,,,,,,,,12,BRUCEVILLE-EDDY ISD 161919
AZLE EL 220915104,621.0,54.0,113.0,,,,53.0,,,,,,,,11,AZLE ISD 220915
AZLE H S 220915001,1885.0,282.0,886.0,,,82.0,222.0,51.0,,,42.0,,,111.0,11,AZLE ISD 220915
AZLE HORNET ACADEMY 220915003,148.0,,,,,,,,,,,,,,11,AZLE ISD 220915
AZLE J H SOUTH 220915041,572.0,91.0,247.0,,,19.0,79.0,,,,,,,28.0,11,AZLE ISD 220915
AZLEWAY - BIG SANDY 046802010,82.0,,,,,,,,,,,,,,20,TRINITY CHARTER SCHOOL 046802
AZLEWAY - CHAPEL HILL 046802009,77.0,,,,,,,,,,,,,,20,TRINITY CHARTER SCHOOL 046802
AZLEWAY - WILLOW BEND 046802011,148.0,,,,,,,,,,,,,,20,TRINITY CHARTER SCHOOL 046802
B B OWEN EL 061902115,416.0,16.0,36.0,,,,14.0,,,,,,,,11,LEWISVILLE ISD 061902
B F TERRY H S 079901002,2160.0,221.0,469.0,,,36.0,,25.0,,,13.0,,,220.0,4,LAMAR CISD 079901
B G HUDSON MIDDLE 057909052,1271.0,214.0,563.0,,,17.0,169.0,,,,18.0,,,96.0,10,GARLAND ISD 057909
B H HAMBLEN EL 101905042,935.0,16.0,20.0,,,,,,,,,,,15.0,4,CHANNELVIEW ISD 101905
B H MACON EL 057905180,551.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
B L GARZA MIDDLE SCHOOL 108904043,1143.0,347.0,1388.0,,,24.0,333.0,14.0,,,15.0,,,122.0,1,EDINBURG CISD 108904
B L GRAY J H 108911041,813.0,182.0,474.0,,,,175.0,,,,,,,18.0,1,SHARYLAND ISD 108911
B MCDANIEL INT 091903045,734.0,98.0,176.0,,,,93.0,,,,,,,19.0,10,DENISON ISD 091903
B T WILSON SIXTH GRADE SCHOOL 133903104,395.0,46.0,102.0,,,,44.0,,,,,,,,20,KERRVILLE ISD 133903
B-SUCCESS ACADEMY - AEC 020905006,255.0,46.0,114.0,,,13.0,32.0,,,,,,,24.0,4,BRAZOSPORT ISD 020905
BACK EL 057909140,478.0,19.0,58.0,,,,19.0,,,,,,,,10,GARLAND ISD 057909
BAGDAD EL 246913109,666.0,16.0,52.0,,,,16.0,,,,,,,,13,LEANDER ISD 246913
BAILEY EL 101917101,694.0,,,,,,,,,,,,,,4,PASADENA ISD 101917
BAILEY INGLISH EARLY CHILDHOOD CEN 074903103,200.0,,,,,,,,,,,,,,10,BONHAM ISD 074903
BAILEY INT 139911104,352.0,35.0,79.0,,,,35.0,,,,,,,,8,NORTH LAMAR ISD 139911
BAILEY J H 220901045,892.0,193.0,681.0,,,61.0,136.0,,,,,,,98.0,11,ARLINGTON ISD 220901
BAILEY M S 227901059,1040.0,159.0,485.0,,,,153.0,,,,,,,45.0,13,AUSTIN ISD 227901
BAIRD EL 030903101,174.0,,18.0,,,,,,,,,,,,14,BAIRD ISD 030903
BAIRD H S 030903001,101.0,,22.0,,,,,,,,,,,,14,BAIRD ISD 030903
BAIRD MIDDLE 030903041,68.0,17.0,26.0,,,,17.0,,,,,,,,14,BAIRD ISD 030903
BAKER EL 106901101,222.0,,,,,,,,,,,,,,16,CANADIAN ISD 106901
BAKER MIDDLE 178904041,1068.0,158.0,383.0,,,50.0,96.0,26.0,,,32.0,,,114.0,2,CORPUS CHRISTI ISD 178904
BAKER-KOONCE INT 183902101,647.0,79.0,180.0,,,,75.0,,,,,,,13.0,7,CARTHAGE ISD 183902
BAKER-RIPLEY CHARTER SCHOOL 101853106,312.0,,,,,,,,,,,,,,4,PROMISE COMMUNITY SCHOOL 101853
BALDWIN EL 227901187,818.0,,12.0,,,,,,,,,,,,13,AUSTIN ISD 227901
BALL EARLY CHILDHOOD CENTER 094901101,612.0,,,,,,,,,,,,,,13,SEGUIN ISD 094901
BALL H S 084902001,2202.0,589.0,2486.0,,,97.0,588.0,60.0,,,47.0,,,27.0,4,GALVESTON ISD 084902
BALLINGER EL 200901101,468.0,31.0,78.0,,,,29.0,,,,,,,,15,BALLINGER ISD 200901
BALLINGER H S 200901001,272.0,24.0,55.0,,,,,,,,,,,,15,BALLINGER ISD 200901
BALLINGER J H 200901041,230.0,37.0,103.0,,,,34.0,,,,,,,12.0,15,BALLINGER ISD 200901
BALMORHEA SCHOOL 195902001,203.0,26.0,34.0,,,,26.0,,,,,,,,18,BALMORHEA ISD 195902
BAMMEL EL 101919102,969.0,35.0,47.0,,,,15.0,,,,,,,23.0,4,SPRING ISD 101919
BAMMEL MIDDLE 101919046,1082.0,386.0,1055.0,,,12.0,258.0,,,,,,,292.0,4,SPRING ISD 101919
BANDERA H S 010902001,709.0,146.0,593.0,,,53.0,121.0,,,,,,,87.0,20,BANDERA ISD 010902
BANDERA MIDDLE 010902041,567.0,98.0,315.0,,,11.0,91.0,,,,,,,34.0,20,BANDERA ISD 010902
BANE EL 101907101,1043.0,59.0,133.0,,,,57.0,,,,,,,,4,CYPRESS-FAIRBANKS ISD 101907
BANG EL 101907125,1158.0,75.0,226.0,,,,71.0,,,,,,,10.0,4,CYPRESS-FAIRBANKS ISD 101907
BANGS H S 025901001,350.0,49.0,71.0,,,12.0,39.0,,,,,,,,15,BANGS ISD 025901
BANGS MIDDLE 025901041,314.0,50.0,145.0,,,,48.0,,,,,,,,15,BANGS ISD 025901
BANQUETE EL 178913101,463.0,23.0,33.0,,,,22.0,,,,,,,,2,BANQUETE ISD 178913
BANQUETE H S 178913001,280.0,41.0,84.0,,,,38.0,,,,,,,,2,BANQUETE ISD 178913
BANQUETE J H 178913041,236.0,47.0,126.0,,,,46.0,,,,,,,,2,BANQUETE ISD 178913
BANUELOS EL 101911125,905.0,67.0,153.0,,,,64.0,,,,,,,,4,GOOSE CREEK CISD 101911
BARACK OBAMA MALE LEADERSHIP ACA A 057905357,225.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
BARACK OBAMA MALE LEADERSHIP ACA A 057905381,168.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
BARANOFF EL 227901182,1043.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
